order_id,customer_id,customer_name,customer_email,product_id,product_name,category,quantity,unit_price,order_date,status,payment_method,country,city,total_amount
020b4e5f-1b8e-4fe9-aa3f-cefc6e9d2228,62aeb97c-052c-4dce-9e72-51a34df2d06e,Yolanda Rose,whitepatty@example.net,PROD-3294,Networked actuating alliance,Books,3,884.38,2026-02-06T21:38:48,cancelled,paypal,Morocco,Danielleshire,2653.14
ca11bc70-2490-46cd-9092-341ad492c570,6411ac1e-2565-4aea-8c17-87b1e1236aa2,Ashley Mejia,jordan51@example.net,PROD-3095,Reduced modular website,Books,8,897.88,2026-01-19T06:20:55,completed,paypal,Kenya,Crystalville,7183.04
d3c0e488-2720-40b3-8021-a376acbc5d6e,59156a0c-5b07-4542-b13e-b648aaa9cf2c,Robin Hunter,erikavasquez@example.com,PROD-1965,Persevering empowering methodology,Sports,9,518.64,2025-07-08T05:18:53,pending,bank_transfer,French Southern Territories,Lake Andrea,4667.76
96dea910-ca28-4e9c-a607-9041e25fc916,7126e3c8-a79a-4082-8764-843b836ee336,Brittany Gentry,deleondaniel@example.net,PROD-2291,Synchronized bi-directional archive,Clothing,4,88.04,2026-04-15T07:03:46,pending,paypal,Cook Islands,North Brian,352.16
0eaf75ee-1491-46cc-b868-06e55b21ad46,b9c28872-9dc5-4d94-b150-c4faf8a5a41b,Justin Palmer,folsen@example.org,PROD-8328,Expanded logistical access,Sports,1,429.53,2026-01-16T08:57:27,completed,bank_transfer,Albania,Autumnstad,429.53
e19a69f2-53f1-44e4-9d4f-ad37fe77cf0c,f0a829a2-fe55-425c-b597-9a367f8c676b,Shannon Powers,joseph30@example.net,PROD-1718,Total tangible approach,Clothing,2,31.79,2026-02-03T04:45:55,pending,paypal,Honduras,Anthonyburgh,63.58
b6f48a43-cb45-40e0-9f92-626c77e690b4,a0d358bc-d574-464d-b209-02aed6850225,Teresa Smith,howeshelly@example.org,PROD-6823,Expanded coherent database,Electronics,3,886.34,2025-09-02T22:11:53,pending,paypal,San Marino,Aaronhaven,2659.02
da94a065-d41a-4c85-b0ab-772cb6a89f1c,b7075224-70be-4671-8cbb-96ae3a3d6615,Jenna Moore,jennifer82@example.com,PROD-2131,Phased client-driven solution,Books,8,43.58,2025-12-19T16:33:19,pending,bank_transfer,Central African Republic,Lake Jacobfort,348.64
8490644e-9822-445f-9a53-426d92bc1867,2f160e69-8190-4d4d-9f9a-c07125506818,Vanessa Clark,nrhodes@example.com,PROD-6688,Networked regional secured line,Books,5,900.35,2025-11-09T17:47:41,pending,bank_transfer,El Salvador,Briantown,4501.75
14ec77f7-45e6-476f-9e43-e5ac9c5e7a0b,3dab22b3-e3be-4bbf-a977-99e0d2652809,Katherine Black,hgreen@example.com,PROD-9568,Persevering context-sensitive instruction set,Food,3,261.11,2026-05-23T09:35:11,completed,paypal,Anguilla,Whiteport,783.33
34d356cf-dc6c-4ff6-b12c-80edc2571e49,f0df5f6d-adb3-4229-a563-e771f66b8022,Martha Bell,simscolleen@example.net,PROD-1087,Operative even-keeled installation,Books,2,825.94,2025-06-04T04:01:11,cancelled,credit_card,Uzbekistan,Sydneyton,1651.88
986a37a2-8ac7-4b06-baa3-95b646e1f390,9c94ca87-5f30-42b9-9c16-300502e36fbf,Jennifer Jensen,sortiz@example.com,PROD-5037,Organic coherent framework,Sports,9,931.93,2025-06-16T13:05:40,pending,paypal,Svalbard & Jan Mayen Islands,Samanthafurt,8387.37
b44d2a91-34af-4704-a8dc-3e8c43a7ff7f,966b5041-f046-43b9-bce9-3507f86fb342,Amy Freeman,christine63@example.com,PROD-1674,Configurable tangible installation,Electronics,3,197.54,2025-08-29T11:33:12,cancelled,paypal,Congo,Lake Julie,592.62
50b68602-48d5-42d4-949a-b2a39e1ad559,6a320d05-16a8-4ffe-935c-bd737147c1d7,Sabrina Hutchinson,pauldavis@example.org,PROD-8039,Distributed full-range contingency,Clothing,7,426.83,2025-11-16T07:02:34,pending,credit_card,Western Sahara,Fishermouth,2987.81
e281adc8-5a9c-41c7-9318-e333d7b1accc,3cd129aa-ab5f-4c3a-9323-6bf8b3f063d9,John Wood,dustin55@example.com,PROD-4028,Profound cohesive firmware,Books,2,892.89,2025-06-22T11:10:59,completed,bank_transfer,Palestinian Territory,Erinhaven,1785.78
2862e8d7-4273-474c-891f-dfe27f62951c,f60520a4-c150-4102-b55f-362b12ff68b7,Heather Lara,denisefloyd@example.net,PROD-4172,Enterprise-wide dynamic infrastructure,Electronics,6,845.24,2025-10-23T02:43:52,cancelled,bank_transfer,Reunion,North Kathleenview,5071.44
32a784af-7ae0-408a-955b-4c987a0b05b1,86a727ef-fef1-47d9-9823-73d2fd776ab7,Gary Benson,anthonyarnold@example.net,PROD-7299,Proactive mobile monitoring,Food,8,591.56,2026-02-18T13:14:15,cancelled,credit_card,Pakistan,Port Michaelburgh,4732.48
3579f32d-9dec-4ed3-83c1-4aeec6875505,3bc79f29-d606-46cb-84c4-4ded90c78909,Jamie Irwin,bsmith@example.net,PROD-9505,Grass-roots executive access,Sports,6,501.84,2025-08-03T02:21:03,pending,credit_card,Venezuela,Butlerfurt,3011.04
7575f88e-7359-4843-9b50-e6e789f67152,8d3e644c-abae-43fe-b5aa-27a3db65351e,Joseph Gonzalez,robinperry@example.org,PROD-4604,Organized composite utilization,Books,8,556.77,2026-01-21T21:22:37,pending,bank_transfer,Benin,Lake Lisafort,4454.16
70e33f3d-1e3e-4c51-829e-66b4bf3a6369,3d7a3b7b-fa85-4ae8-9e9a-c0b4f6c0379f,Benjamin Brady,renee08@example.org,PROD-7677,User-centric logistical database,Books,9,806.6,2025-08-23T05:07:51,pending,credit_card,United States of America,Kristinhaven,7259.4
ed5f5199-2f85-46af-bfa2-c70880f81422,ae9b5654-eea3-4f4f-b704-146bd47db643,Timothy Patterson,khernandez@example.net,PROD-3916,Cloned next generation synergy,Electronics,8,789.61,2025-11-05T11:39:04,completed,credit_card,Honduras,Millerfort,6316.88
1835f4b4-6091-4580-b44e-1243b0504400,97b80b6a-3124-42d0-813d-42f7295c1f2f,Lee Green,allendavid@example.net,PROD-4242,Self-enabling scalable throughput,Sports,9,20.85,2025-12-10T20:58:24,completed,credit_card,South Georgia and the South Sandwich Islands,Lake Katherine,187.65
b4c72a59-24b3-483f-b696-020c37b53e30,6e8f9d35-3c3b-4099-97c6-87f4af6578fb,Megan Garza,kimanderson@example.org,PROD-8535,Multi-tiered homogeneous groupware,Books,8,934.64,2025-11-12T11:21:27,cancelled,bank_transfer,Brazil,Nobleport,7477.12
5438abfd-cbf7-43cb-a8ba-2e0033f90e63,2cfbb128-22ce-49e2-a977-e2c57a615e69,John Dixon,garzajames@example.org,PROD-2032,Adaptive holistic moratorium,Sports,1,427.97,2025-09-24T23:14:04,completed,credit_card,Turkmenistan,Gonzalezhaven,427.97
7d3ee8ad-5f71-45cc-ac6a-5b8eeb389c07,0fcb4618-4a3e-4884-83ed-726ae0fb023b,Samantha Thornton,johnday@example.org,PROD-1952,Multi-tiered zero administration superstructure,Sports,2,949.75,2026-01-01T23:55:32,completed,credit_card,Niger,Piercebury,1899.5
20df3f9a-aedd-4200-8e10-7e5c11e33331,1c7fe8a5-9593-43d4-a50c-0056708b4cdc,Dr. Catherine Schwartz,anthony99@example.com,PROD-3814,Versatile dedicated algorithm,Books,9,680.11,2026-05-11T09:44:08,pending,bank_transfer,Nigeria,Parkerton,6120.99
d3911037-b272-4519-9bc5-54120f6fcda3,f6aea8bc-6332-49de-9f7c-a7532bf57889,Alexander Alvarez,gabrielbeck@example.net,PROD-8346,Digitized eco-centric algorithm,Clothing,5,612.66,2025-06-11T15:27:14,cancelled,bank_transfer,Netherlands,Port Russell,3063.3
67d3c61c-0f20-4d6d-a357-39864e73fd7b,296b470e-e082-4aac-b5f9-46329ddfd37b,Kevin Holt,foxlogan@example.net,PROD-8689,Reverse-engineered methodical portal,Food,3,824.37,2026-04-21T02:55:37,pending,paypal,Barbados,North Anna,2473.11
bfe1bcdd-d6e1-4485-be99-7c89d1872207,1824c07c-b522-4d05-88f6-2bcaebd2df3d,Michael Lopez,fraziergina@example.net,PROD-2050,Reactive fault-tolerant encoding,Sports,1,261.77,2025-06-12T08:12:40,pending,credit_card,Greece,West Louis,261.77
dbd4c7bb-c9f4-4420-a696-301c0b5b5226,829ea0e0-fca9-42c6-b194-55ef894bbcb7,Christopher Carr,edaniels@example.net,PROD-7770,Innovative user-facing access,Clothing,10,725.8,2025-07-27T20:39:23,completed,bank_transfer,Swaziland,Bakerchester,7258.0
4f356e77-40c3-4d68-bce6-495d2ce51a46,901e504e-80c7-42d0-911c-a15d3692427d,David Hall,nicholas61@example.org,PROD-2147,Configurable coherent website,Food,5,731.4,2026-01-29T12:04:32,cancelled,paypal,Kiribati,Andrewport,3657.0
1a7a20db-e4c9-41b4-96d5-41254d7f769b,c275a957-2dda-49c0-8b1f-46671e0d9811,Christine Harris,lbaker@example.net,PROD-2125,Synergized heuristic collaboration,Sports,4,380.59,2025-08-08T06:31:11,pending,credit_card,Singapore,Nicholasmouth,1522.36
64736bfc-b969-4f5a-bc0c-d13be0235a85,e25a3217-ab46-4638-8f30-bbedbe85e9e2,Ryan Mccarthy,zgonzalez@example.com,PROD-5293,Synergized radical protocol,Clothing,2,29.89,2026-03-29T05:33:09,completed,paypal,Lebanon,South Douglasborough,59.78
d5e48b24-6b99-4309-8bf9-8499f814b430,b51ea51c-d3b2-48cd-a7b3-0a34c4abff47,Shelley Perez,cartertravis@example.net,PROD-5584,Multi-tiered global knowledge user,Electronics,8,333.12,2026-02-18T15:16:58,pending,paypal,Liechtenstein,Jefferystad,2664.96
159b60cb-2a57-431f-a111-7bc97f93eaba,a1dee8af-e866-4685-a79a-dce562e1113f,Christina Kelley,zrodriguez@example.org,PROD-4928,Balanced fault-tolerant protocol,Books,5,556.04,2025-08-19T16:07:32,cancelled,credit_card,Antigua and Barbuda,Evansport,2780.2
2a4c5bca-0acc-4596-9d2b-7072b9d5b7c8,98847f92-02b9-4298-a322-94dd7cc4a0b7,Brittany Sims,pflynn@example.net,PROD-3422,Optimized maximized data-warehouse,Electronics,7,88.82,2025-09-08T07:04:43,completed,bank_transfer,Maldives,New Hector,621.74
20e4ef42-bc3c-4d06-9417-856e6226c8f3,af1785c2-3255-40f2-b447-d0b35f46e8d6,Jacob Garcia,veronica26@example.com,PROD-6815,Streamlined intangible hub,Clothing,6,338.48,2025-09-02T19:47:55,completed,bank_transfer,Kyrgyz Republic,Lake Janet,2030.88
d5da9927-f059-4dfa-8aff-0d85b9058ad5,51c304b3-1d81-4d8e-aeed-33e27ab905f6,Kevin Anderson,mdelgado@example.com,PROD-4962,Secured heuristic firmware,Food,9,588.44,2026-05-06T05:06:21,cancelled,credit_card,Philippines,Salazarmouth,5295.96
3f43ea12-9f20-4b53-8ece-3c715556c350,ade81fcf-bb7c-4bc0-8899-9f292c3c8510,Benjamin Wilson,davidtucker@example.net,PROD-1805,Cross-group optimal orchestration,Sports,3,686.86,2025-10-25T16:02:02,pending,paypal,Togo,New Andreaborough,2060.58
6450232a-24e1-49f1-af99-74d41d80f72d,f211ec9f-505f-45b9-b368-977c7a258980,Shelby Davis,debbieperez@example.net,PROD-7423,Extended zero administration workforce,Food,5,884.24,2026-04-25T01:46:07,cancelled,credit_card,Guyana,North Laurenside,4421.2
